run,symbol,entry_date,entry_price,exit_date,exit_price,qty,exit_reason
ml_net,USHAMART,2025-10-03T00:00:00+00:00,462.4,2025-10-10T00:00:00+00:00,469.65,6,rank_dropout
ml_net,TATAINVEST,2025-10-03T00:00:00+00:00,1000.2,2025-10-17T00:00:00+00:00,889,49,rank_dropout
ml_net,AIIL,2025-10-03T00:00:00+00:00,638.22,2025-10-17T00:00:00+00:00,632.44,78,rank_dropout
ml_net,WOCKPHARMA,2025-10-03T00:00:00+00:00,1460,2025-10-17T00:00:00+00:00,1342.7,34,rank_dropout
ml_net,NEULANDLAB,2025-10-03T00:00:00+00:00,15210,2025-10-17T00:00:00+00:00,16281,3,rank_dropout
ml_net,NUVAMA,2025-10-10T00:00:00+00:00,1447.1,2025-10-17T00:00:00+00:00,1404.1,34,rank_dropout
ml_net,BASF,2025-10-03T00:00:00+00:00,4687.5,2025-10-24T00:00:00+00:00,4461.8,10,rank_dropout
ml_net,GODFRYPHLP,2025-10-03T00:00:00+00:00,3425.4,2025-10-24T00:00:00+00:00,3122.7,14,rank_dropout
ml_net,FIRSTCRY,2025-10-03T00:00:00+00:00,372.1,2025-10-24T00:00:00+00:00,361.3,134,rank_dropout
ml_net,MAHSCOOTER,2025-10-10T00:00:00+00:00,17174,2025-10-24T00:00:00+00:00,16419,2,rank_dropout
ml_net,SYRMA,2025-10-10T00:00:00+00:00,843.65,2025-10-24T00:00:00+00:00,773.85,12,rank_dropout
ml_net,ADANIPOWER,2025-10-17T00:00:00+00:00,165.98,2025-10-24T00:00:00+00:00,167.72,220,rank_dropout
ml_net,TATAINVEST,2025-10-24T00:00:00+00:00,839,2025-10-31T00:00:00+00:00,799,59,rank_dropout
ml_net,SCHNEIDER,2025-10-24T00:00:00+00:00,840.45,2025-10-31T00:00:00+00:00,836.5,59,rank_dropout
ml_net,NUVAMA,2025-10-24T00:00:00+00:00,1435.2,2025-10-31T00:00:00+00:00,1418.4,11,rank_dropout
ml_net,RPOWER,2025-07-04T00:00:00+00:00,66.08,2025-11-07T00:00:00+00:00,39.19,756,rank_dropout
ml_net,AKUMS,2025-10-17T00:00:00+00:00,461.75,2025-11-07T00:00:00+00:00,453.35,108,rank_dropout
ml_net,HBLENGINE,2025-10-31T00:00:00+00:00,1004.2,2025-11-07T00:00:00+00:00,979.2,12,rank_dropout
ml_net,ANANDRATHI,2025-10-17T00:00:00+00:00,1562.55,2025-11-14T00:00:00+00:00,1511.15,31,rank_dropout
ml_net,PVRINOX,2025-10-31T00:00:00+00:00,1206.6,2025-11-14T00:00:00+00:00,1083.3,41,rank_dropout
ml_net,GPIL,2025-10-24T00:00:00+00:00,263.48,2025-11-21T00:00:00+00:00,241.7,189,rank_dropout
ml_net,LTF,2025-11-07T00:00:00+00:00,303.6,2025-11-21T00:00:00+00:00,288.7,164,rank_dropout
ml_net,JKTYRE,2025-11-07T00:00:00+00:00,458.5,2025-11-21T00:00:00+00:00,446.45,89,rank_dropout
ml_net,AIIL,2025-11-14T00:00:00+00:00,554.88,2025-11-21T00:00:00+00:00,534.32,1,rank_dropout
ml_net,SYRMA,2025-10-31T00:00:00+00:00,813.8,2025-11-28T00:00:00+00:00,820.25,61,rank_dropout
ml_net,SWIGGY,2025-11-21T00:00:00+00:00,385.45,2025-11-28T00:00:00+00:00,378.3,129,rank_dropout
ml_net,JYOTICNC,2025-11-21T00:00:00+00:00,992.15,2025-11-28T00:00:00+00:00,1010.25,50,rank_dropout
ml_net,PVRINOX,2025-11-21T00:00:00+00:00,1095.3,2025-11-28T00:00:00+00:00,1067.9,4,rank_dropout
ml_net,OLAELEC,2025-10-17T00:00:00+00:00,57.08,2025-12-05T00:00:00+00:00,35.5,875,rank_dropout
ml_net,KIRLOSENG,2025-10-17T00:00:00+00:00,890.1,2025-12-05T00:00:00+00:00,1130.8,56,rank_dropout
ml_net,ABCAPITAL,2025-11-28T00:00:00+00:00,358.05,2025-12-05T00:00:00+00:00,358.75,139,rank_dropout
ml_net,TATAINVEST,2025-11-28T00:00:00+00:00,745.75,2025-12-05T00:00:00+00:00,708.5,4,rank_dropout
ml_net,LTF,2025-11-28T00:00:00+00:00,312.35,2025-12-12T00:00:00+00:00,307.85,160,rank_dropout
ml_net,JKTYRE,2025-12-05T00:00:00+00:00,464.3,2025-12-12T00:00:00+00:00,455,102,rank_dropout
ml_net,NEWGEN,2025-10-24T00:00:00+00:00,892.75,2025-12-19T00:00:00+00:00,828.25,56,rank_dropout
ml_net,NEULANDLAB,2025-11-14T00:00:00+00:00,17461,2025-12-19T00:00:00+00:00,16044,2,rank_dropout
ml_net,MAHSCOOTER,2025-11-21T00:00:00+00:00,14639,2025-12-19T00:00:00+00:00,14018,2,rank_dropout
ml_net,CHENNPETRO,2025-07-04T00:00:00+00:00,771.15,2025-12-26T00:00:00+00:00,828.35,64,rank_dropout
ml_net,ZENTEC,2025-11-14T00:00:00+00:00,1434.4,2025-12-26T00:00:00+00:00,1374.8,34,rank_dropout
ml_net,HBLENGINE,2025-11-14T00:00:00+00:00,1041.3,2025-12-26T00:00:00+00:00,897.5,6,rank_dropout
ml_net,HYUNDAI,2025-12-12T00:00:00+00:00,2342.2,2025-12-26T00:00:00+00:00,2321.1,19,rank_dropout
ml_net,FIRSTCRY,2025-12-12T00:00:00+00:00,290.55,2025-12-26T00:00:00+00:00,285.2,3,rank_dropout
ml_net,ANANDRATHI,2025-12-19T00:00:00+00:00,1501.6,2025-12-26T00:00:00+00:00,1516.75,4,rank_dropout
ml_net,IKS,2025-12-26T00:00:00+00:00,1730.8,2026-01-02T00:00:00+00:00,1684.4,3,rank_dropout
ml_net,JWL,2025-12-26T00:00:00+00:00,347.55,2026-01-02T00:00:00+00:00,338.25,4,rank_dropout
ml_net,AIIL,2025-11-28T00:00:00+00:00,541.3,2026-01-09T00:00:00+00:00,609.56,92,rank_dropout
ml_net,KIRLOSENG,2025-12-19T00:00:00+00:00,1244.8,2026-01-09T00:00:00+00:00,1156.9,40,rank_dropout
ml_net,ITI,2025-07-04T00:00:00+00:00,326.9,2026-01-16T00:00:00+00:00,301.95,152,rank_dropout
ml_net,JPPOWER,2025-07-04T00:00:00+00:00,18.95,2026-01-16T00:00:00+00:00,16.24,2638,rank_dropout
ml_net,ABFRL,2025-10-03T00:00:00+00:00,87.99,2026-01-16T00:00:00+00:00,71.3,568,rank_dropout
ml_net,OLAELEC,2025-12-12T00:00:00+00:00,36.69,2026-01-16T00:00:00+00:00,37.24,1362,rank_dropout
ml_net,IGIL,2025-12-26T00:00:00+00:00,335,2026-01-16T00:00:00+00:00,315.25,149,rank_dropout
ml_net,NEWGEN,2026-01-02T00:00:00+00:00,840.15,2026-01-16T00:00:00+00:00,749.85,7,rank_dropout
ml_net,FIRSTCRY,2026-01-02T00:00:00+00:00,289.8,2026-01-16T00:00:00+00:00,272.85,2,rank_dropout
ml_net,ANANDRATHI,2026-01-09T00:00:00+00:00,1572.7,2026-01-16T00:00:00+00:00,1546.1,31,rank_dropout
ml_net,WOCKPHARMA,2026-01-16T00:00:00+00:00,1427.6,2026-01-23T00:00:00+00:00,1351.6,35,rank_dropout
ml_net,HYUNDAI,2026-01-16T00:00:00+00:00,2340.4,2026-01-23T00:00:00+00:00,2263.2,21,rank_dropout
ml_net,VEDL,2026-01-16T00:00:00+00:00,255.69,2026-01-23T00:00:00+00:00,256.24,195,rank_dropout
ml_net,ZENTEC,2026-01-16T00:00:00+00:00,1328.4,2026-01-23T00:00:00+00:00,1287.6,27,rank_dropout
ml_net,ANANTRAJ,2025-09-19T00:00:00+00:00,640.4,2026-02-01T00:00:00+00:00,531.05,78,rank_dropout
ml_net,JKTYRE,2025-12-19T00:00:00+00:00,485.75,2026-02-01T00:00:00+00:00,499.3,102,rank_dropout
ml_net,RKFORGE,2026-01-16T00:00:00+00:00,496.3,2026-02-01T00:00:00+00:00,510.1,1,rank_dropout
ml_net,GMDCLTD,2025-09-05T00:00:00+00:00,509,2026-02-06T00:00:00+00:00,600.1,98,rank_dropout
ml_net,NAVA,2025-12-05T00:00:00+00:00,526.4,2026-02-06T00:00:00+00:00,562.45,94,rank_dropout
ml_net,KIRLOSENG,2026-01-16T00:00:00+00:00,1170.3,2026-02-06T00:00:00+00:00,1170.6,42,rank_dropout
ml_net,MAHSCOOTER,2026-02-01T00:00:00+00:00,13157,2026-02-06T00:00:00+00:00,13567,3,rank_dropout
ml_net,JPPOWER,2026-02-01T00:00:00+00:00,14.88,2026-02-06T00:00:00+00:00,15.13,206,rank_dropout
ml_net,NEULANDLAB,2026-01-23T00:00:00+00:00,13251,2026-02-13T00:00:00+00:00,13056,3,rank_dropout
ml_net,OLAELEC,2026-01-23T00:00:00+00:00,31.95,2026-02-13T00:00:00+00:00,30.89,1233,rank_dropout
ml_net,IFCI,2026-02-06T00:00:00+00:00,60.18,2026-02-13T00:00:00+00:00,62.87,830,rank_dropout
ml_net,CONCORDBIO,2026-02-06T00:00:00+00:00,1327.2,2026-02-13T00:00:00+00:00,1184.4,37,rank_dropout
ml_net,GVT&D,2026-02-06T00:00:00+00:00,3552.2,2026-02-13T00:00:00+00:00,3553,1,rank_dropout
ml_net,SCI,2026-01-23T00:00:00+00:00,201.74,2026-02-20T00:00:00+00:00,254.96,247,rank_dropout
ml_net,RKFORGE,2026-02-06T00:00:00+00:00,555.85,2026-02-20T00:00:00+00:00,549.95,89,rank_dropout
ml_net,SAILIFE,2026-02-13T00:00:00+00:00,914.85,2026-02-20T00:00:00+00:00,941.4,54,rank_dropout
ml_net,RPOWER,2025-12-05T00:00:00+00:00,37.68,2026-02-27T00:00:00+00:00,23.97,1326,rank_dropout
ml_net,MCX,2026-01-16T00:00:00+00:00,2446,2026-02-27T00:00:00+00:00,2443.3,20,rank_dropout
ml_net,SYRMA,2026-01-23T00:00:00+00:00,665.35,2026-02-27T00:00:00+00:00,822.25,75,rank_dropout
ml_net,TARIL,2026-02-13T00:00:00+00:00,271.11,2026-02-27T00:00:00+00:00,310.14,101,rank_dropout
ml_net,GMDCLTD,2026-02-20T00:00:00+00:00,567.6,2026-02-27T00:00:00+00:00,569.4,2,rank_dropout
ml_net,NAVA,2026-02-13T00:00:00+00:00,554.45,2026-03-06T00:00:00+00:00,566.9,90,rank_dropout
ml_net,TEJASNET,2026-02-27T00:00:00+00:00,435.85,2026-03-06T00:00:00+00:00,465.05,114,rank_dropout
ml_net,JPPOWER,2026-02-27T00:00:00+00:00,15.25,2026-03-06T00:00:00+00:00,13.86,1621,rank_dropout
ml_net,PGEL,2026-02-06T00:00:00+00:00,584.9,2026-03-13T00:00:00+00:00,502.2,85,rank_dropout
ml_net,HYUNDAI,2026-02-20T00:00:00+00:00,2293.4,2026-03-13T00:00:00+00:00,2018,21,rank_dropout
ml_net,ANANDRATHI,2026-02-20T00:00:00+00:00,1508.7,2026-03-13T00:00:00+00:00,1519.65,9,rank_dropout
ml_net,ZENTEC,2026-03-06T00:00:00+00:00,1426.8,2026-03-13T00:00:00+00:00,1364.7,35,rank_dropout
ml_net,RKFORGE,2026-03-06T00:00:00+00:00,565.2,2026-03-13T00:00:00+00:00,559.25,46,rank_dropout
ml_net,CHENNPETRO,2026-01-09T00:00:00+00:00,782.7,2026-03-20T00:00:00+00:00,1064.75,63,rank_dropout
ml_net,SCHNEIDER,2026-02-27T00:00:00+00:00,906.45,2026-03-20T00:00:00+00:00,890,55,rank_dropout
ml_net,ABSLAMC,2026-03-13T00:00:00+00:00,932.8,2026-03-20T00:00:00+00:00,944.65,53,rank_dropout
ml_net,GRSE,2025-07-04T00:00:00+00:00,2973.9,2026-03-27T00:00:00+00:00,2068.4,16,rank_dropout
ml_net,JPPOWER,2026-03-13T00:00:00+00:00,13.9,2026-03-27T00:00:00+00:00,14.73,1591,rank_dropout
ml_net,WAAREEENER,2026-03-20T00:00:00+00:00,3165.9,2026-03-27T00:00:00+00:00,3092.6,15,rank_dropout
ml_net,FIRSTCRY,2026-03-20T00:00:00+00:00,250.87,2026-03-27T00:00:00+00:00,223.78,199,rank_dropout
